127.0.0.1 - - [05/Aug/2023:18:03:17 -0300] "GET / HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [05/Aug/2023:20:39:58 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 3792
0:0:0:0:0:0:0:1 - - [05/Aug/2023:20:39:58 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 1518
0:0:0:0:0:0:0:1 - - [05/Aug/2023:20:39:58 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 36954
0:0:0:0:0:0:0:1 - - [05/Aug/2023:20:39:58 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 529159
0:0:0:0:0:0:0:1 - - [05/Aug/2023:20:39:59 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [05/Aug/2023:20:39:59 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [05/Aug/2023:20:39:59 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 109630
0:0:0:0:0:0:0:1 - - [05/Aug/2023:20:40:00 -0300] "GET /ProjetoTrilhaWeb/pages/admin/product/ HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [05/Aug/2023:20:40:00 -0300] "GET /ProjetoTrilhaWeb/js/product.js HTTP/1.1" 200 5243
0:0:0:0:0:0:0:1 - - [05/Aug/2023:20:40:01 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 130
0:0:0:0:0:0:0:1 - - [05/Aug/2023:20:40:01 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 81
0:0:0:0:0:0:0:1 - - [05/Aug/2023:20:40:01 -0300] "GET /ProjetoTrilhaWeb/imgs/edit.png HTTP/1.1" 200 10828
0:0:0:0:0:0:0:1 - - [05/Aug/2023:20:40:01 -0300] "GET /ProjetoTrilhaWeb/imgs/delete.png HTTP/1.1" 200 16832
0:0:0:0:0:0:0:1 - - [05/Aug/2023:20:40:03 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscarPorId?id=3 HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [05/Aug/2023:20:40:03 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_highlight-soft_100_eeeeee_1x100.png HTTP/1.1" 200 394
0:0:0:0:0:0:0:1 - - [05/Aug/2023:20:40:03 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-icons_ef8c08_256x240.png HTTP/1.1" 200 4670
0:0:0:0:0:0:0:1 - - [05/Aug/2023:20:40:03 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-icons_222222_256x240.png HTTP/1.1" 200 7077
0:0:0:0:0:0:0:1 - - [05/Aug/2023:20:40:03 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_glass_100_f6f6f6_1x400.png HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [05/Aug/2023:20:40:03 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_gloss-wave_35_f6a828_500x100.png HTTP/1.1" 200 5925
0:0:0:0:0:0:0:1 - - [05/Aug/2023:20:40:03 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_diagonals-thick_20_666666_40x40.png HTTP/1.1" 200 436
0:0:0:0:0:0:0:1 - - [05/Aug/2023:20:40:03 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_glass_100_fdf5ce_1x400.png HTTP/1.1" 200 458
0:0:0:0:0:0:0:1 - - [05/Aug/2023:20:40:04 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_glass_65_ffffff_1x400.png HTTP/1.1" 200 317
0:0:0:0:0:0:0:1 - - [05/Aug/2023:20:40:29 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscarPorId?id=3 HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [05/Aug/2023:20:47:24 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 81
0:0:0:0:0:0:0:1 - - [05/Aug/2023:20:47:24 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 130
0:0:0:0:0:0:0:1 - - [05/Aug/2023:20:47:32 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscarPorId?id=3 HTTP/1.1" 200 89
0:0:0:0:0:0:0:1 - - [05/Aug/2023:20:47:44 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscarPorId?id=3 HTTP/1.1" 200 89
